Review	predicted_label
Spend your money elsewhere.	False
Their regular toasted bread was equally satisfying with the occasional pats of butter... Mmmm...!	False
The Buffet at Bellagio was far from what I anticipated.	False
And the drinks are WEAK, people!	False
-My order was not correct.	False
Also, I feel like the chips are bought, not made in house.	False
After the disappointing dinner we went elsewhere for dessert.	False
The chips and sals a here is amazing!!!!!!!!!!!!!!!!!!!	False
We won't be returning.	False
This is my new fav Vegas buffet spot.	False
I seriously cannot believe that the owner has so many unexperienced employees that all are running around like chickens with their heads cut off.	True
Very, very sad.	False
i felt insulted and disrespected, how could you talk and judge another human being like that?	False
How can you call yourself a steakhouse if you can't properly cook a steak, I don't understand!	False
I'm not impressed with the concept or the food.	False
The only thing I wasn't too crazy about was their guacamole as I don't like it puréed.	True
There is really nothing for me at postinos, hope your experience is better	False
I got food poisoning here at the buffet.	False
They brought a fresh batch of fries and I was thinking yay something warm but no!	False
What SHOULD have been a hilarious, yummy Christmas Eve dinner to remember was the biggest fail of the entire trip for us.	False
Needless to say, I won't be going back anytime soon.	False
This place is disgusting!	False
Every time I eat here, I see caring teamwork to a professional degree.	True
The RI style calamari was a joke.	False
However, there was so much garlic in the fondue, it was barely edible.	False
I could barely stomach the meal, but didn't complain because it was a business lunch.	False
It was so bad, I had lost the heart to finish it.	False
It also took her forever to bring us the check when we asked for it.	False
We aren't ones to make a scene at restaurants but I just don't get it...definitely lost the love after this one!	False
Disappointing experience.	False
The food is about on par with Denny's, which is to say, not good at all.	False
If you want to wait for mediocre food and downright terrible service, then this is the place for you.	False
WAAAAAAyyyyyyyyyy over rated is all I am saying.	False
We won't be going back.	False
The place was fairly clean but the food simply wasn't worth it.	False
This place lacked style!!	False
The sangria was about half of a glass wine full and was $12, ridiculous.	False
Don't bother coming here.	False
The meat was pretty dry, I had the sliced brisket and pulled pork.	False
The building itself seems pretty neat, the bathroom is pretty trippy, but I wouldn't eat here again.	False
It was equally awful.	False
Probably not in a hurry to go back.	False
very slow at seating even with reservation.	False
Not good by any stretch of the imagination.	False
The cashew cream sauce was bland and the vegetables were undercooked.	False
The chipolte ranch dipping sause was tasteless, seemed thin and watered down with no heat.	False
It was a bit too sweet, not really spicy enough, and lacked flavor.	False
I was VERY disappointed!!	False
This place is horrible and way overpriced.	False
Maybe it's just their Vegetarian fare, but I've been twice and I thought it was average at best.	False
It wasn't busy at all and now we know why.	False
The tables outside are also dirty a lot of the time and the workers are not always friendly and helpful with the menu.	False
The ambiance here did not feel like a buffet setting, but more of a douchey indoor garden for tea and biscuits.	False
Con: spotty service.	False
The fries were not hot, and neither was my burger.	False
But then they came back cold.	False
Then our food came out, disappointment ensued.	False
The real disappointment was our waiter.	False
My husband said she was very rude... did not even apologize for the bad food or anything.	False
The only reason to eat here would be to fill up before a night of binge drinking just to get some carbs in your stomach.	True
Insults, profound deuchebaggery, and had to go outside for a smoke break while serving just to solidify it.	False
If someone orders two tacos don't' you think it may be part of customer service to ask if it is combo or ala cart?	False
She was quite disappointed although some blame needs to be placed at her door.	False
After all the rave reviews I couldn't wait to eat here......what a disappointment!	False
Del Taco is pretty nasty and should be avoided if possible.	False
It's NOT hard to make a decent hamburger.	False
But I don't like it.	False
Hell no will I go back	False
We've have gotten a much better service from the pizza place next door than the services we received from this restaurant.	False
"""I don't know what the big deal is about this place, but I won't be back """"ya'all""""."""	False
I immediately said I wanted to talk to the manager but I did not want to talk to the guy who was doing shots of fireball behind the bar.	False
The ambiance isn't much better.	False
Unfortunately, it only set us up for disapppointment with our entrees.	False
The food wasn't good.	False
Your servers suck, wait, correction, our server Heimer sucked.	False
What happened next was pretty....off putting.	False
too bad cause I know it's family owned, I really wanted to like this place.	True
Overpriced for what you are getting.	True
I vomited in the bathroom mid lunch.	False
I kept looking at the time and it had soon become 35 minutes, yet still no food.	False
I have been to very few places to eat that under no circumstances would I ever return to, and this tops the list.	True
We started with the tuna sashimi which was brownish in color and obviously wasn't fresh.	False
Food was below average.	False
It sure does beat the nachos at the movies but I would expect a little bit more coming from a restaurant.	False
All in all, Ha Long Bay was a bit of a flop.	False
The problem I have is that they charge $11.99 for a sandwich that is no bigger than a Subway sub (which offers better and more amount of vegetables).	False
Shrimp- When I unwrapped it (I live only 1/2 a mile from Brushfire) it was literally ice cold.	True
It lacked flavor, seemed undercooked, and dry.	False
It really is impressive that the place hasn't closed down.	False
I would avoid this place if you are staying in the Mirage.	True
The refried beans that came with my meal were dried out and crusty and the food was bland.	False
Spend your money and time some place else.	False
A lady at the table next to us found a live green caterpillar In her salad.	False
the presentation of the food was awful.	False
I can't tell you how disappointed I was.	False
I think food should have flavor and texture and both were lacking.	False
Appetite instantly gone.	False
Overall I was not impressed and would not go back.	True
The whole experience was underwhelming, and I think we'll just go to Ninja Sushi next time.	False
Then, as if I hadn't wasted enough of my life there, they poured salt in the wound by drawing out the time it took to bring the check.	False
